Item#,Description,Metal,Gms,Categories,Collections,Diamond Quality,Size,Quantity OH,Price,Image
KJ00215E.PR-2-22F,14KY 2.1ctw (PR-1ctr) F+VS+ LGD EARR 1.3gms,14KY,1.3,EARR,,F+VS+,,1,603,https://images.kirajewels.net/USA/KJ00215E.PR-2-22.jpg
KJ00215E.PR-2-23F,14KR 2ctw (PR-0.92ctr) F+VS+ LGD EARR 1.3gms,14KR,1.29,EARR,,F+VS+,,1,603,https://images.kirajewels.net/USA/KJ00215E.PR-2-23.jpg
KJ00215E.PR-3-21F,14KW 3ctw (PR-1.4ctr) F+VS+ LGD EARR 1.4gms,14KW,1.39,EARR,,F+VS+,,1,996,https://images.kirajewels.net/USA/KJ00215E.PR-2-21.jpg
KJ00215E.PR-3-22F,14KY 3ctw (PR-1.4ctr) F+VS+ LGD EARR 1.3gms,14KY,1.33,EARR,,F+VS+,,1,996,https://images.kirajewels.net/USA/KJ00215E.PR-2-22.jpg
KJ00215E.PR-3-23F,14KR 3ctw (PR-1.4ctr) F+VS+ LGD EARR 1.5gms,14KR,1.49,EARR,,F+VS+,,1,996,https://images.kirajewels.net/USA/KJ00215E.PR-2-23.jpg
KJ00215E.PR-5-21FB,14KW 5.1ctw (PR-2.4ctr) F+VS+/BLUE LGD EARR 2.6gms,14KW,2.59,EARR,,F+VS+,,1,2209,
KJ00215E.PR-5-22F,14KY 5.2ctw (PR-2.4ctr) F+VS+ LGD EARR 2.7gms,14KY,2.7,EARR,,F+VS+,,1,1766,https://images.kirajewels.net/USA/KJ00215E.PR-2-22.jpg
KJ00215E.PR-5-23FP,14KR 5.2ctw (PR-2.4ctr) F+VS+/PINK LGD EARR 2.5gms,14KR,2.5,EARR,,F+VS+,,2,2702,https://images.kirajewels.net/USA/KJ00215E.PR-5-23FP.jpg
KJ00215E.RD-1-21F,14KW 1ctw (Dia=26stns w/ RD-0ctr) F+VS+ LGD  Earring 1.05gms,14KW,1.05,EARR,,F+VS+,,1,372,https://images.kirajewels.net/USA/KJ00215E.RD-2-21.jpg
KJ00215E.RD-1-22F,14KY 1ctw (RD-0.4ctr) F+VS+ LGD EARR 1.1gms,14KY,1.1,EARR,,F+VS+,,1,372,https://images.kirajewels.net/USA/KJ00215E.RD-2-22.jpg
KJ00215E.RD-2-21G,14KW 2ctw (RD-0.9ctr) G+VS+ LGD EARR 1.6gms,14KW,1.57,EARR,,G+VS+,,3,596,https://images.kirajewels.net/USA/KJ00215E.RD-2-21.jpg
KJ00215E.RD-2-21G,14KW 2ctw (RD-0.9ctr) G+VS+ LGD EARR 1.6gms,14KW,1.57,EARR,,G+VS+,,1,596,https://images.kirajewels.net/USA/KJ00215E.RD-2-21.jpg
KJ00215E.RD-2-21V,14KW 2ctw (RD-0.9ctr) F+VVS+ LGD EARR 1.6gms,14KW,1.62,EARR,,F+VVS+,,4,839,https://images.kirajewels.net/USA/KJ00215E.RD-2-21.jpg
KJ00215E.RD-2-22F,14KY 2ctw (RD-0.9ctr) F+VVS+ LGD EARR 1.6gms,14KY,1.56,EARR,,F+VVS+,,3,620,https://images.kirajewels.net/USA/KJ00215E.RD-2-22.jpg
KJ00215E.RD-2-22F,14KY 2ctw (RD-0.9ctr) F+VVS+ LGD EARR 1.6gms,14KY,1.56,EARR,,F+VVS+,,1,620,https://images.kirajewels.net/USA/KJ00215E.RD-2-22.jpg
KJ00215E.RD-2-23V,14KR 2ctw (RD-0.9ctr) F+VVS+ LGD EARR 1.5gms,14KR,1.48,EARR,,F+VVS+,,1,839,https://images.kirajewels.net/USA/KJ00215E.RD-2-23.jpg
KJ00215E.RD-3-21F,14KW 3ctw (RD-1.4ctr) F+VS+ LGD EARR 1.8gms,14KW,1.76,EARR,,F+VS+,,2,1112,https://images.kirajewels.net/USA/KJ00215E.RD-2-21.jpg
KJ00215E.RD-3-21F,14KW 3ctw (RD-1.4ctr) F+VS+ LGD EARR 1.8gms,14KW,1.76,EARR,,F+VS+,,1,1112,https://images.kirajewels.net/USA/KJ00215E.RD-2-21.jpg
KJ00215E.RD-3-22F,14KY 3ctw (RD-1.4ctr) F+VS+ LGD EARR 1.8gms,14KY,1.75,EARR,,F+VS+,,1,1112,https://images.kirajewels.net/USA/KJ00215E.RD-2-22.jpg
KJ00215E.RD-3-22F,14KY 3ctw (RD-1.4ctr) F+VS+ LGD EARR 1.8gms,14KY,1.75,EARR,,F+VS+,,1,1112,https://images.kirajewels.net/USA/KJ00215E.RD-2-22.jpg
KJ00215E.RD-3-23F,14KR 3ctw (RD-1.4ctr) F+VS+ LGD EARR 1.8gms,14KR,1.77,EARR,,F+VS+,,1,1112,https://images.kirajewels.net/USA/KJ00215E.RD-2-23.jpg
KJ00215E.RD-5-21F,14KW 5ctw (RD-2.3ctr) F+VS+ LGD EARR 2.3gms,14KW,2.31,EARR,,F+VS+,,1,1880,https://images.kirajewels.net/USA/KJ00215E.RD-2-21.jpg
KJ00215E.RD-5-22F,14KY 5ctw (RD-2.3ctr) F+VS+ LGD EARR 2.4gms,14KY,2.39,EARR,,F+VS+,,1,1880,https://images.kirajewels.net/USA/KJ00215E.RD-2-22.jpg
KJ00215E.RD-5-23F,14KR 5ctw (RD-2.3ctr) F+VS+ LGD EARR 2.6gms,14KR,2.59,EARR,,F+VS+,,1,1880,https://images.kirajewels.net/USA/KJ00215E.RD-2-23.jpg
KJ00215E6.RD-3-21F,14KW 3ctw (RD-1.4ctr) F+VS+ LGD EARR 2gms,14KW,1.99,EARR,,F+VS+,,1,1142,https://images.kirajewels.net/USA/KJ00215E6.RD-3-21F.png
KJ00215E6.RD-3-21F,14KW 3ctw (RD-1.4ctr) F+VS+ LGD EARR 2gms,14KW,1.99,EARR,,F+VS+,,1,1142,https://images.kirajewels.net/USA/KJ00215E6.RD-3-21F.png
KJ00215E6.RD-3-22F,14KY 3ctw (RD-1.39ctr) F+VS+ LGD EARR 2gms,14KY,2.03,EARR,,F+VS+,,1,1142,
KJ00215E6.RD-3-23F,14KR 2.9ctw (RD-1.4ctr) F+VS+ LGD EARR 2gms,14KR,1.97,EARR,,F+VS+,,1,1142,
KJ00215N.RD-5-21F,14KW 5ctw (RD-0.9ctr) F+VS+ LGD NECK 2.7gms,14KW,2.7,NECK,,F+VS+,"SZ 18""",1,1439,https://images.kirajewels.net/USA/KJ00215N.RD-5-21.jpg
KJ00215N.RD-5-21F,14KW 5ctw (RD-0.9ctr) F+VS+ LGD NECK 2.7gms,14KW,2.7,NECK,,F+VS+,"SZ 18""",2,1439,https://images.kirajewels.net/USA/KJ00215N.RD-5-21.jpg
KJ00215N.RD-5-21F,14KW 5ctw (RD-0.9ctr) F+VS+ LGD NECK 2.7gms,14KW,2.7,NECK,,F+VS+,"SZ 18""",1,1439,https://images.kirajewels.net/USA/KJ00215N.RD-5-21.jpg
KJ00215N.RD-5-22F,14KY 5ctw (RD-0.9ctr) F+VS+ LGD NECK 2.7gms,14KY,2.7,NECK,,F+VS+,"18""",3,1439,https://images.kirajewels.net/USA/KJ00215N.RD-5-22.jpg
KJ00215N.RD-5-22F,14KY 5ctw (RD-0.9ctr) F+VS+ LGD NECK 2.7gms,14KY,2.7,NECK,,F+VS+,"18""",1,1439,https://images.kirajewels.net/USA/KJ00215N.RD-5-22.jpg
KJ00222E.EM-1-21F,14KW 1.2ctw (EM-0.5ctr) F+VS+ LGD EARR 2.9gms,14KW,2.94,EARR,,F+VS+,,1,665,https://images.kirajewels.net/USA/KJ00222E.EM-1-21.jpg
KJ00222E.EM-1-22F,14KY 1.2ctw (EM-0.5ctr) F+VS+ LGD EARR 2.9gms,14KY,2.91,EARR,,F+VS+,,1,665,https://images.kirajewels.net/USA/KJ00222E.EM-1-22.jpg
KJ00223B.EM-10-21F,14KW 10ctw [D=39(EM-0.3ctr)] F+VS+ LGD Bracelet 7.56 gms,14KW,7.56,BRAC,,F+VS+,SZ-7,1,2974,https://images.kirajewels.net/USA/KJ00223B.EM-7.5-21F.png
KJ00223B.EM-10-21G,14KW 10.05ctw (EM-0.3ctr) G+VS+ LGD BRAC 11gms,14KW,0,BRAC,,G+VS+,,1,2889,https://images.kirajewels.net/USA/KJ00223B.EM-7.5-21F.png
KJ00223B.EM-10-22G,14KY 10ctw [D=39(EM-0.3ctr)] F+VS+ LGD Bracelet 7.56 gms,14KY,7.56,BRAC,,G+VS+,SZ-7,1,2889,https://images.kirajewels.net/USA/KJ00223B.EM-12-22.png
KJ00223B.EM-12-21F,14KW 12ctw (EM-0.4ctr) F+VS+ LGD BRAC 9.29gms,14KW,9.29,BRAC,,F+VS+,7,1,3548,https://images.kirajewels.net/USA/KJ00223B.EM-7.5-21F.png
KJ00223B.EM-12-21G,14KW 12ctw (EM-0.4ctr) G+VS+ LGD BRAC 9.29gms,14KW,9.29,BRAC,,G+VS+,7,1,3447,https://images.kirajewels.net/USA/KJ00223B.EM-7.5-21F.png
KJ00223B.EM-12-22G,14KY 12ctw (EM-0.4ctr) G+VS+ LGD BRAC 9.29gms,14KY,9.29,BRAC,,G+VS+,7,1,3447,https://images.kirajewels.net/USA/KJ00223B.EM-12-22.png
KJ00223B.EM-13-21F,14KW 13ctw (EM-0.394ctr) F+VS+ LGD BRAC 8.98gms,14KW,8.98,BRAC,,F+VS+,7,1,3739,https://images.kirajewels.net/USA/KJ00223B.EM-7.5-21F.png
KJ00223B.EM-13-21F,14KW 13ctw (EM-0.394ctr) F+VS+ LGD BRAC 8.98gms,14KW,8.98,BRAC,,F+VS+,7,1,3739,https://images.kirajewels.net/USA/KJ00223B.EM-7.5-21F.png
KJ00223B.EM-13-22F,14KY 13ctw (EM-0.394ctr) F+VS+ LGD BRAC 8.98gms,14KY,8.98,BRAC,,F+VS+,7,2,3739,https://images.kirajewels.net/USA/KJ00223B.EM-12-22.png
KJ00223B.EM-15-21G,14KW 15.05ctw (EM-0.45ctr) G+VS+ LGD BRAC 8.6gms,14KW,0,BRAC,,G+VS+,,1,0,https://images.kirajewels.net/USA/KJ00223B.EM-7.5-21F.png
KJ00223B.EM-7.5-21F,14KW 7.5ctw (EM-0.2ctr) F+VS+ LGD BRAC 7.9gms,14KW,7.9,BRAC,,F+VS+,7,1,2525,https://images.kirajewels.net/USA/KJ00223B.EM-7.5-21F.png
KJ00223B.OV-10-21G,14KW 10.05ctw (OV-0.31ctr) G+VS+ LGD BRAC 8.03gms,14KW,0,BRAC,,G+VS+,,1,2958,https://images.kirajewels.net/USA/KJ00223B.OV-10.5-21F.png
KJ00223B.OV-10.5-21F,14KW 10.5ctw (OV-0.318ctr) F+VS+ LGD BRAC 7.75gms,14KW,7.75,BRAC,,F+VS+,7,3,3078,https://images.kirajewels.net/USA/KJ00223B.OV-10.5-21F.png
KJ00223B.OV-10.5-22F,14KY 10.5ctw (OV-0.318ctr) F+VS+ LGD BRAC 7.75gms,14KY,7.75,BRAC,,F+VS+,7,1,3078,https://images.kirajewels.net/USA/KJ00223B.OV-12-22.png
KJ00223B.OV-10.5-22F,14KY 10.5ctw (OV-0.318ctr) F+VS+ LGD BRAC 7.75gms,14KY,7.75,BRAC,,F+VS+,7,2,3078,https://images.kirajewels.net/USA/KJ00223B.OV-12-22.png
KJ00223B.OV-10.50-21F,14KW 10.5ctw [D=32(OV-0.3ctr)] F+VS+ LGD Bracelet 7.54 gms,14KW,7.54,BRAC,,F+VS+,SZ-7,1,3078,https://images.kirajewels.net/USA/KJ00223B.OV-10.5-21F.png
KJ00223B.OV-12-21F,14KW 12ctw (OV-0.4ctr) F+VS+ LGD BRAC 9gms,14KW,8.95,BRAC,,F+VS+,7,1,3509,https://images.kirajewels.net/USA/KJ00223B.OV-10.5-21F.png
KJ00223B.OV-12-21G,14KW 12ctw (OV-0.18ctr) G+VS+ LGD BRAC 8.86gms,14KW,8.86,BRAC,,G+VS+,,1,3407,https://images.kirajewels.net/USA/KJ00223B.OV-10.5-21F.png
KJ00223B.OV-12-22G,14KY 12ctw (OV-0.4ctr) G+VS+ LGD BRAC 8.8gms,14KW,8.77,BRAC,,G+VS+,7,1,3407,https://images.kirajewels.net/USA/KJ00223B.OV-12-22.png
KJ00223B.OV-13-21F,14KW 13ctw (OV-0.419ctr) F+VS+ LGD BRAC 8.5gms,14KW,8.5,BRAC,,F+VS+,7,3,3547,https://images.kirajewels.net/USA/KJ00223B.OV-10.5-21F.png
KJ00223B.OV-13-21F,14KW 13ctw (OV-0.419ctr) F+VS+ LGD BRAC 8.5gms,14KW,8.5,BRAC,,F+VS+,7,1,3547,https://images.kirajewels.net/USA/KJ00223B.OV-10.5-21F.png
KJ00223B.OV-13-22F,14KY 12ctw (OV-0.419ctr) F+VS+ LGD BRAC 8.5gms,14KY,8.5,BRAC,,F+VS+,7,1,3547,https://images.kirajewels.net/USA/KJ00223B.OV-12-22.png
KJ00223B.OV-7-21F,14KW 7ctw (OV-0.2ctr) F+VS+ LGD BRAC 7.3gms,14KW,7.32,BRAC,,F+VS+,7,2,2415,https://images.kirajewels.net/USA/KJ00223B.OV-10.5-21F.png
KJ00223B.RD-10-21F,14KW 10ctw (RD-0.2ctr) F+VS+ LGD BRAC 11.45gms,14KW,11.45,BRAC,,F+VS+,7,1,2779,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-10-21F,14KW 10ctw (RD-0.2ctr) F+VS+ LGD BRAC 11.45gms,14KW,11.45,BRAC,,F+VS+,7,10,2779,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-10-22F,14KY 10CTW (RD-0.2ctr) F+VS+ LGD Brac 11.45gms,14KY,11.45,BRAC,,F+VS+,,10,2779,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-11-21F,14KW 11ctw (RD-0.26ctr) F+VS+ LGD BRAC 9.8gms,14KW,9.8,BRAC,TENN,F+VS+,7,10,3337,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-11-22F,14KY 11ctw (RD-0.26ctr) F+VS+ LGD BRAC 9.8gms,14KY,9.8,BRAC,TENN,F+VS+,7,10,3337,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-12-21F,14KW 12ctw (RD-0.3ctr) F+VS+ LGD BRAC 11.99gms,14KW,11.99,BRAC,,F+VS+,7,1,3467,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-12-21F,14KW 12ctw (RD-0.3ctr) F+VS+ LGD BRAC 11.99gms,14KW,11.99,BRAC,TENN,F+VS+,7,10,3467,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-12-22F,14KY 12CTW (RD-0.3ctr) F+VS+ LGD Brac 11.99gms,14KY,11.99,BRAC,,F+VS+,,1,3467,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-12-22F,14KY 12CTW (RD-0.3ctr) F+VS+ LGD Brac 11.99gms,14KY,11.99,BRAC,,F+VS+,,10,3467,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-12-22G,14KY 12ctw (RD-0.31ctr) G+VS+ LGD BRAC 10gms,14KY,10,BRAC,TENN,G+VS+,7,1,3340,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-13-21F,14KW 13ctw (RD-0.33ctr) F+VS+ LGD BRAC 10.2gms,14KW,10.2,BRAC,TENN,F+VS+,7,10,3643,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-13-22F,14KY 13ctw (RD-0.33ctr) F+VS+ LGD BRAC 10.2gms,14KY,10.2,BRAC,TENN,F+VS+,7,10,3643,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-14-21F,14KW 14ctw (RD-0.37ctr) F+VS+ LGD BRAC 10.4gms,14KW,10.4,BRAC,TENN,F+VS+,7,10,3887,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-14-22F,14KY 14ctw (RD-0.37ctr) F+VS+ LGD BRAC 10.4gms,14KY,10.4,BRAC,TENN,F+VS+,7,10,3887,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-15-21F,14KW 15ctw (RD-0.4ctr) F+VS+ LGD BRAC 12.65gms,14KW,12.65,BRAC,,F+VS+,7,2,4059,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-15-21F,14KW 15ctw (RD-0.4ctr) F+VS+ LGD BRAC 12.65gms,14KW,12.65,BRAC,,F+VS+,7,1,4059,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-15-22F,14KY 15ctw (RD-0.4ctr) F+VS+ LGD BRAC 12.65gms,14KY,12.65,BRAC,,F+VS+,7,3,4059,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-15-22F,14KY 15ctw (RD-0.4ctr) F+VS+ LGD BRAC 12.65gms,14KY,12.65,BRAC,,F+VS+,7,1,4059,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-3-21F,14KW 3ctw (RD-0.043ctr) F+VS+ LGD BRAC 7.3gms,14KW,7.3,BRAC,TENN,F+VS+,7,2,1723,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-3-21F,14KW 3ctw (RD-0.043ctr) F+VS+ LGD BRAC 7.3gms,14KW,7.3,BRAC,TENN,F+VS+,7,1,1723,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-5-21F,14KW 5ctw (RD-0.1ctr) F+VS+ LGD BRAC 9.18gms,14KW,9.18,BRAC,,F+VS+,7,1,1979,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-5-21F,14KW 5ctw (RD-0.1ctr) F+VS+ LGD BRAC 9.18gms,14KW,9.18,BRAC,,F+VS+,7,10,1979,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-5-22F,14KY 5CTW (RD-0.1ctr) F+VS+ LGD Brac 9.18gms,14KY,9.18,BRAC,,F+VS+,,10,1979,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-5-22G,14KY 5ctw (RD-0.08ctr) G+VS+ LGD BRAC 7.2gms,14KY,7.2,BRAC,,G+VS+,7,1,1947,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-6-21F,14KW 6ctw (RD-0.11ctr) F+VS+ LGD BRAC 10.04gms,14KW,10.04,BRAC,TENN,F+VS+,7,10,2122,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-6-22F,14KY 6ctw (RD-0.1ctr) F+VS+ LGD BRAC 10.04gms,14KY,10.04,BRAC,,F+VS+,7,1,2122,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-7-21F,14KW 7ctw (RD-0.1ctr) F+VS+ LGD BRAC 10.49gms,14KW,10.49,BRAC,,F+VS+,7,2,2297,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-7-21F,14KW 7ctw (RD-0.1ctr) F+VS+ LGD BRAC 10.49gms,14KW,10.49,BRAC,,F+VS+,7,10,2297,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-7-22F,14KY 7ctw (RD-0.1ctr) F+VS+ LGD Brac 10.49gms,14KY,10.49,BRAC,,F+VS+,"7""",10,2297,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-7-22G,14KY 7ctw (RD-0.1ctr) G+VS+ LGD BRAC 8.7gms,14KY,8.7,BRAC,,G+VS+,7,1,2252,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-8-21F,14KW 8ctw (RD-0.2ctr) F+VS+ LGD BRAC 10.46gms,14KW,10.46,BRAC,,F+VS+,7,1,2506,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-8-21F,14KW 8ctw (RD-0.2ctr) F+VS+ LGD BRAC 10.46gms,14KW,10.46,BRAC,,F+VS+,7,9,2506,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-8-22F,14KY 8ctw (RD-0.2ctr) F+VS+ LGD BRAC 10.46gms,14KY,10.46,BRAC,,F+VS+,7,1,2506,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-8-22F,14KY 8ctw (RD-0.2ctr) F+VS+ LGD BRAC 10.46gms,14KY,10.46,BRAC,,F+VS+,7,10,2506,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-9-21F,14KW 9ctw (RD-0.2ctr) F+VS+ LGD BRAC 9.48gms,14KW,9.48,BRAC,,F+VS+,"7""",1,2623,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-9-21F,14KW 9ctw (RD-0.2ctr) F+VS+ LGD BRAC 9.4gms,14KW,9.4,BRAC,TENN,F+VS+,7,3,2623,https://images.kirajewels.net/USA/KJ00223B.RD-8-21F.png
KJ00223B.RD-9-22F,14KY 9ctw (RD-0.2ctr) F+VS+ LGD BRAC 9.4gms,14KY,9.4,BRAC,TENN,F+VS+,7,1,2623,https://images.kirajewels.net/USA/KJ00223B.RD-12-22.png
KJ00223B.RD-9.75-23F,14KR 9.6ctw (RD-0.2ctr) F+VS+ LGD BRAC 10.1gms,14KR,10.1,BRAC,,F+VS+,"SZ 7""",1,2714,
KJ00223N.9.5-21F,14KW 9.5ctw F+VS+ LGD NECK 16.1gms,14KW,16.08,NECK,,F+VS+,"SZ 18""",1,4204,https://images.kirajewels.net/USA/KJ00223N.RD-10-21.jpg
KJ00223N.RD-10-22F,14KY 10ctw (RD-0.06ctr) F+VS+ LGD NECK 16gms,14KY,15.98,NECK,CHAIN,F+VS+,"18""",1,4008,https://images.kirajewels.net/USA/KJ00223N.RD-10-22.jpg
KJ00223N.RD-10-22F,14KY 10ctw (RD-0.06ctr) F+VS+ LGD NECK 16gms,14KY,15.98,NECK,CHAIN,F+VS+,"18""",1,4008,https://images.kirajewels.net/USA/KJ00223N.RD-10-22.jpg
KJ00223N.RD-10-23F,14KR 10ctw (RD-0.06ctr) F+VS+ LGD NECK 16gms,14KR,15.98,NECK,CHAIN,F+VS+,"18""",2,4008,https://images.kirajewels.net/USA/KJ00223N.RD-10-23.jpg
KJ00223N.RD-20-21F,14KW 20ctw (RD-0.2ctr) F+VS+ LGD NECK 30.4gms,14KW,30.44,NECK,,F+VS+,,1,6955,https://images.kirajewels.net/USA/KJ00223N.RD-10-21.jpg
KJ00223N.RD-24.2-22F,14KY 24ctw (RD-0.2ctr) F+VS+ LGD NECK 26.3gms,14KY,26.3,NECK,,F+VS+,16+2,1,7098,https://images.kirajewels.net/USA/KJ00223N.RD-10-22.jpg
KJ00223N.RD-24.2-22F,14KY 24ctw (RD-0.2ctr) F+VS+ LGD NECK 26.3gms,14KY,26.3,NECK,,F+VS+,16+2,1,7098,https://images.kirajewels.net/USA/KJ00223N.RD-10-22.jpg
KJ00224H.PS-4-21F,14KW 4ctw (PS-0.2ctr) F+VS+ LGD EARR 5.5gms,14KW,5.45,EARR,,F+VS+,,1,1508,https://images.kirajewels.net/USA/KJ00224H.PS-4-21G.jpg
KJ00224H.PS-4-21F,14KW 4ctw (PS-0.2ctr) F+VS+ LGD EARR 5.5gms,14KW,5.45,EARR,,F+VS+,,1,1508,https://images.kirajewels.net/USA/KJ00224H.PS-4-21G.jpg
KJ00226H.MQ-1-21F,14KW 1ctw (MQ-0.5ctr) F+VS+ LGD EARR 3.7gms,14KW,3.7,EARR,,F+VS+,,1,738,https://images.kirajewels.net/USA/KJ00226E.MQ-1-21.jpg
KJ00226H.MQ-1-23F,14KR 1ctw (MQ-0.5ctr) F+VS+ LGD EARR 3.8gms,14KR,3.82,EARR,,F+VS+,,1,738,https://images.kirajewels.net/USA/KJ00226E.MQ-1-23.jpg
KJ00227H.EM-4.7-22G,14KY 4.7ctw(EM-0.2ctr) G+VS+ LGD EARR 6.3gms,14KY,6.3,EARR,,G+VS+,,1,1661,https://images.kirajewels.net/USA/KJ00227E.EM-4.7-22.jpg
KJ00228H.OV-6-21F,14KW 6ctw (OV-0.2ctr) F+VS+ LGD EARR 8.5gms,14KW,8.51,EARR,,F+VS+,,1,2345,https://images.kirajewels.net/USA/KJ00228E.OV-6-21.jpg
KJ00230H.RD-3-22G,14KY 3ctw(RD-0.2ctr) G+VS+ LGD EARR 6.2gms,14KY,6.24,EARR,,G+VS+,,1,1282,https://images.kirajewels.net/USA/KJ00230E.RD-3-22.jpg
KJ00230H.RD-3-23F,14KR 3ctw F+VS+ LGD EARR 6.3gms,14KR,6.3,EARR,,F+VS+,,1,1302,https://images.kirajewels.net/USA/KJ00230E.RD-3-23.jpg
KJ00230H.RD-5-21F,14KW 5ctw F+VS+ LGD EARR 8.6gms,14KW,8.59,EARR,,F+VS+,,1,1909,https://images.kirajewels.net/USA/KJ00230E.RD-3-21.jpg
KJ00230H.RD-7-21F,14KW 7ctw F+VS+ LGD EARR 11.2gms,14KW,11.18,EARR,,F+VS+,,1,2565,https://images.kirajewels.net/USA/KJ00230E.RD-3-21.jpg
KJ00244R.RD-1.8-21F,14KW 1.8ctw (RD-1.1ctr) F+VS+ LGD RING 4.4gms,14KW,4.37,RING,,F+VS+,Sz7,1,1183,
KJ00255E.RA-4.7-24FY,14KWY 4.8ctw (RA-2.1ctr) F+VS+/YELLOW LGD EARR 3.6gms,14KWY,3.58,EARR,,F+VS+,,1,3175,https://images.kirajewels.net/USA/KJ00255E.RA-4.7-24FY.jpg
KJ00255E.RA-4.7-24FY,14KWY 4.8ctw (RA-2.1ctr) F+VS+/YELLOW LGD EARR 3.6gms,14KWY,3.58,EARR,,F+VS+,,5,3175,https://images.kirajewels.net/USA/KJ00255E.RA-4.7-24FY.jpg
KJ00257E.PS-AS-7.4-23F,14KR 7.43ctw (PS/AS-2.02/1.03ctr) F+VS+ LGD EARR 3.5gms,14KR,3.54,EARR,,F+VS+,,1,2218,https://images.kirajewels.net/USA/KJ00257E-8-23.jpg
KJ00257E.PS-AS-8-21FB,14KW 8ctw (PS/AS-2.15/1.15ctr) F+VS+/BLUE LGD EARR 3.9gms,14KW,3.93,EARR,,F+VS+,,1,2918,
KJ00260E.EM-PS-3-23F,14KR 3ctw (EM/PS-1ctr/0.4ctr) F+VS+ LGD EARR 3.8gms,14KR,3.65,EARR,,F+VS+,,1,1283,https://images.kirajewels.net/USA/KJ00260E.PS.EM-3-23.jpg
KJ00260E.RA-PS-3-21F,14KW 3ctw (RA/PS-1.ctr/0.4) F+VS+ LGD EARR 3.7gms,14KW,3.84,EARR,,F+VS+,,1,1283,https://images.kirajewels.net/USA/KJ00260E.PS.EM-3-21.jpg
KJ00261H.EM-3-21F,14KW 3ctw (EM-1ctr) F+VS+ LGD EARR 4gms,14KW,4,EARR,,F+VS+,,1,1245,
KJ00262R.MQ-2-21F,14KW 2ctw (MQ-1.1ctr) F+VS+ LGD RING 3.6gms,14KW,3.57,RING,,F+VS+,Sz7,1,895,
KJ00271R.RD-1.6-21F,14KW 1.6ctw (RD-1ctr) F+VS+ LGD RING 3.8gms,14KW,3.82,RING,,F+VS+,Sz7,1,937,
KJ00272R.RD-1.6-22F,14KY 1.6ctw (RD-1.1ctr) F+VS+ LGD RING 3.7gms,14KY,3.67,RING,,F+VS+,Sz7,1,937,
KJ00273R.RD-1.6-22F,14KY 1.6ctw (RD-1.1ctr) F+VS+ LGD RING 3gms,14KY,2.96,RING,,F+VS+,Sz7,1,937,
