Item#,Description,Metal,Gms,Categories,Collections,Diamond Quality,Size,Quantity OH,Price,Image
KJ00021M.RD-2-21F,14KW 2ctw (RD-0.51ctr) F+VS+ LGD RING 5.6gms,14KW,5.63,RING,MENS,F+VS+,SZ 10,2,1125,https://images.kirajewels.net/USA/KJ00021M.RD.tiff
KJ00022M.EM-3-21F,14KW 3ctw (EM-3ctr) F+VS+ LGD RING 7gms,14KW,7.01,RING,MENS,F+VS+,SZ 7,1,1695,https://images.kirajewels.net/USA/KJ00022M.EM-3-21.jpg
KJ00022M.EM-3-22F,14KY 3ctw (EM-3ctr) F+VS+ LGD RING 7gms,14KY,7.01,RING,MENS,F+VS+,SZ 7,2,1695,https://images.kirajewels.net/USA/KJ00022M.EM-3-22.jpg
KJ00022M.EM-3-22F,14KY 3ctw (EM-3ctr) F+VS+ LGD RING 7gms,14KY,7.01,RING,MENS,F+VS+,SZ 7,1,1695,https://images.kirajewels.net/USA/KJ00022M.EM-3-22.jpg
KJ00045E.RD-1.25-22G,14KY 1.25ctw (RD-0.2ctr) G+VS+ LGD EARR 4.5gms,14KY,4.54,EARR,,G+VS+,,1,975,
KJ00051R.OV-1.5-22F,14KY 1.5ctw (OV-1ctr) F+VS+ LGD RING 3.3gms,14KY,3.27,RING,,F+VS+,Sz7,1,894,
KJ00054E.CRD-1-21F,14KW 1ctw (RD-0.3ctr) F+VS+ LGD EARR 2.7gms,14KW,2.68,EARR,,F+VS+,,1,603,https://images.kirajewels.net/USA/KJ00054E.CRD-1-21F.jpg
KJ00054E.CRD-1-22G,14KY 1ctw(RD-0.3ctr) G+VS+ LGD EARR 2.7gms,14KY,2.68,EARR,,G+VS+,,1,591,
KJ00054E.CRD-1-23F,14KR 1ctw (RD-0.3ctr) F+VS+ LGD EARR 2.6gms,14KR,2.56,EARR,,F+VS+,,1,603,https://images.kirajewels.net/USA/KJ00054E.CRD-1-23F.jpg
KJ00054E.CRD-2-21F,14KW 2ctw (RD-0.7ctr) F+VS+ LGD EARR 3.5gms,14KW,3.51,EARR,,F+VS+,,1,887,https://images.kirajewels.net/USA/KJ00054E.CRD-1-21F.jpg
KJ00054E.OV-1-22F,14KY 1.2ctw (OV-0.4ctr) F+VS+ LGD EARR 2.6gms,14KY,2.59,EARR,,F+VS+,,1,645,https://images.kirajewels.net/USA/KJ00054E.OV-1-22F.jpg
KJ00054E.OV-1-23F,14KR 1.2ctw (OV-0.4ctr) F+VS+ LGD EARR 2.6gms,14KR,2.61,EARR,,F+VS+,,1,645,
KJ00054E.PS-1-22F,14KY 1ctw (PS-0.3ctr) F+VS+ LGD EARR 2.8gms,14KY,2.77,EARR,,F+VS+,,1,615,https://images.kirajewels.net/USA/KJ00054E.PS-1-22F.jpg
KJ00054E.PS-2-21F,14KW 2.1ctw (PS-0.7ctr) F+VS+ LGD EARR 3.8gms,14KW,3.84,EARR,,F+VS+,,1,959,https://images.kirajewels.net/USA/KJ00054E.PS-2-21F.jpg
KJ00054E.RD-1-21F,14KW 1ctw (RD-0.3ctr) F+VS+ LGD EARR 2.5gms,14KW,2.51,EARR,,F+VS+,,1,595,https://images.kirajewels.net/USA/KJ00054E.RD-1-21F.jpg
KJ00054E.RD-1-22F,14KY 1ctw (RD-0.3ctr) F+VS+ LGD EARR 2.4gms,14KY,2.45,EARR,,F+VS+,,1,595,https://images.kirajewels.net/USA/KJ00054E.RD-2-22G.jpg
KJ00054E.RD-1-22G,14KY 1ctw(RD-0.3ctr) G+VS+ LGD EARR 2.6gms,14KY,2.59,EARR,,G+VS+,,1,583,https://images.kirajewels.net/USA/KJ00054E.RD-2-22G.jpg
KJ00054E.RD-1-23F,14KR 1ctw (RD-0.3ctr) F+VS+ LGD EARR 2.5gms,14KR,2.49,EARR,,F+VS+,,1,595,https://images.kirajewels.net/USA/KJ00054E.RD-1-23F.jpg
